"filename", "language", "Ini", "C++", "GLSL", "Shell Script", "Batch", "CMake", "YAML", "Objective-C++", "Markdown", "C", "comment", "blank", "total"
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Glyph.hpp", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 52, 12, 80
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Image.hpp", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 261, 29, 325
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\PrimitiveType.hpp", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 59
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Rect.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 199, 23, 255
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Rect.inl", "C++", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 40, 30, 160
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\RectangleShape.hpp", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 97, 17, 133
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\RenderStates.hpp", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 129, 19, 175
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\RenderTarget.hpp", "C++", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 396, 45, 511
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\RenderTexture.hpp", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 253, 27, 315
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\RenderWindow.hpp", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 240, 20, 285
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Shader.hpp", "C++", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 718, 69, 876
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Shape.hpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 271, 36, 356
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Sprite.hpp", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 219, 27, 280
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Text.hpp", "C++", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 405, 40, 514
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Texture.hpp", "C++", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 617, 47, 734
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Transform.hpp", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 405, 35, 480
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Transformable.hpp", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 357, 32, 430
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Vertex.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 112, 16, 149
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\VertexArray.hpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 167, 25, 224
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\VertexBuffer.hpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 324, 36, 409
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\View.hpp", "C++", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 269, 32, 344
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Main.hpp", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 44
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network.hpp", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 54
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\Export.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 49
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\Ftp.hpp", "C++", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 439, 59, 617
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\Http.hpp", "C++", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 333, 49, 483
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\IpAddress.hpp", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 256, 32, 329
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\Packet.hpp", "C++", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 401, 61, 533
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\Socket.hpp", "C++", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 146, 27, 220
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\SocketHandle.hpp", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 30, 13, 58
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\SocketSelector.hpp", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 216, 23, 264
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Network\TcpListener.hpp", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 131, 17, 167
